Index,Time[d.s],IEs_T(15)_S(17)_EvLim(20),IEs_T(15)_S(33)_EvLim(20),IEs_T(30)_S(17)_EvLim(20),IEs_T(30)_S(33)_EvLim(20)
13017,737121.0012234449,32103.73012088054,29733.49729060764,32103.73012088054,34698.64420570528
13019,737121.0302427025,32103.73012088054,29733.49729060764,32103.73012088054,34698.64420570528
13086,737123.5605611574,29335.491325718303,31074.89740975076,31119.228762145707,31469.28905412416
13091,737123.7223836624,29335.491325718303,31074.89740975076,31119.228762145707,31469.28905412416
13093,737123.9024709192,29335.491325718303,31074.89740975076,31119.228762145707,31469.28905412416
13117,737124.5761638337,29335.491325718303,31074.89740975076,31119.228762145707,31469.28905412416
13138,737126.0163896759,29010.996193695028,27583.735650380208,29964.576150047254,28523.98811412987
13151,737126.8417188735,29010.996193695028,27583.735650380208,29964.576150047254,28523.98811412987
13155,737127.1448373348,29010.996193695028,27583.735650380208,29964.576150047254,28523.98811412987
13170,737127.6460527994,29010.996193695028,27583.735650380208,29964.576150047254,28523.98811412987
13176,737127.9455216877,28004.581639104763,25769.088121401564,29300.137576922658,30297.42855258456
13191,737128.3591681457,28004.581639104763,25769.088121401564,29300.137576922658,30297.42855258456
13208,737129.0206504875,28004.581639104763,25769.088121401564,29300.137576922658,30297.42855258456
13273,737130.9547651415,28004.581639104763,25769.088121401564,29300.137576922658,30297.42855258456
13293,737131.6519219037,28004.581639104763,25769.088121401564,29300.137576922658,30297.42855258456
13298,737131.7899679844,28004.581639104763,25769.088121401564,29300.137576922658,30297.42855258456
13311,737132.3903927498,25348.93347223117,24431.57040579518,27701.080751656253,28215.148135135067
13359,737134.1288035524,25431.4654831031,30755.74650243616,28078.224053240952,27981.34785721399
13374,737135.0312758138,25431.4654831031,30755.74650243616,28078.224053240952,27981.34785721399
13375,737135.0424149503,25431.4654831031,30755.74650243616,28078.224053240952,27981.34785721399
13381,737135.8182821849,24208.56395536379,24208.56395536379,28062.267260722332,20692.39646441038
13382,737135.8239241614,21718.48701409977,21718.48701409977,27472.972149955516,18837.246830853663
13383,737135.9404857699,21510.359239263722,21510.359239263722,25248.61213270541,16886.565577042395
13724,737140.1378853859,22347.389463909196,21299.46787932311,29159.83366161128,21160.08645729666
13756,737140.4195284802,21436.382186175393,21341.046743219285,20450.77468547573,16253.673955444516
13889,737142.0877293217,21436.382186175393,21341.046743219285,20450.77468547573,16253.673955444516
13921,737142.78148374,21436.382186175393,21341.046743219285,20450.77468547573,16253.673955444516
13930,737142.9285171822,21436.382186175393,21341.046743219285,20450.77468547573,16253.673955444516
13931,737142.9326284009,21436.382186175393,21341.046743219285,20450.77468547573,16253.673955444516
13958,737143.1588953229,21436.382186175393,21341.046743219285,20450.77468547573,16253.673955444516
14073,737143.6956933147,23712.886657343613,21298.34698478472,23712.886657343613,17879.818058183686
14424,737145.1453761306,22573.121837350467,23095.02204933339,28333.928917117228,23095.02204933339
14490,737145.666399582,22424.68181985553,22424.68181985553,25019.366228609044,23704.768010704207
14518,737145.8818767689,22424.68181985553,22424.68181985553,25019.366228609044,23704.768010704207
14781,737147.3551557369,22424.68181985553,22424.68181985553,25019.366228609044,23704.768010704207
14849,737147.8648571887,22424.68181985553,22424.68181985553,25019.366228609044,23704.768010704207
14862,737147.9434278106,22424.68181985553,22424.68181985553,25019.366228609044,23704.768010704207
15098,737152.1446076875,22424.68181985553,22424.68181985553,25019.366228609044,23704.768010704207
15137,737152.7510403087,21589.6171171928,22548.183849446043,22111.517329175724,22548.183849446043
15145,737152.8600809233,21589.6171171928,22548.183849446043,22111.517329175724,22548.183849446043
15268,737154.0906463866,21662.030891039907,21686.6196182294,20757.61622500929,21686.6196182294
15355,737155.0484386616,21662.030891039907,21686.6196182294,20757.61622500929,21686.6196182294
15423,737155.9457251813,21662.030891039907,21686.6196182294,20757.61622500929,21686.6196182294
15467,737156.6080006982,21704.379840010617,22038.323705779603,21704.379840010617,22038.323705779603
15746,737158.7275947654,21704.379840010617,22038.323705779603,21704.379840010617,22038.323705779603
15762,737158.8382085591,21897.89188320283,21802.07993787998,21897.89188320283,22179.640409109415
15899,737160.3594766629,27508.86810011736,27508.86810011736,27508.86810011736,22578.418161251757
15905,737160.5097988232,25521.563248482213,22683.514217293738,25521.563248482213,25550.07422928509
16036,737162.5794326169,25521.563248482213,22683.514217293738,25521.563248482213,25550.07422928509
17094,737170.009686664,25521.563248482213,22683.514217293738,25521.563248482213,25550.07422928509
17249,737172.9367888352,25521.563248482213,22683.514217293738,25521.563248482213,25550.07422928509
17307,737173.7655115551,25521.563248482213,22683.514217293738,25521.563248482213,25550.07422928509
17388,737175.1575386111,23052.793550002836,23052.793550002836,23052.793550002836,23052.793550002836
17396,737175.2097801078,25267.553139365053,25267.553139365053,20927.57392695149,21646.59949605721
