Index,Time[d.s],logKs_T(15)_S(17)_EvLim(20),logKs_T(15)_S(33)_EvLim(20),logKs_T(30)_S(17)_EvLim(20),logKs_T(30)_S(33)_EvLim(20)
54645,737894.1934053929,6.15661012658256,6.110834584271503,5.839096719505318,5.822204208089694
54693,737895.1079185526,5.482041372672683,5.970120778433392,5.181011377008701,5.772020150841841
54698,737895.2119682013,5.4196394303734365,5.407529979058144,4.84671511318631,4.806784914952725
54715,737895.920805621,6.046004974774452,5.991346485715668,5.8727613050160725,5.816786546028826
54758,737896.7550711872,6.046004974774452,5.991346485715668,5.8727613050160725,5.816786546028826
54760,737896.7825785489,6.046004974774452,5.991346485715668,5.8727613050160725,5.816786546028826
54793,737897.6765943726,6.046004974774452,5.991346485715668,5.8727613050160725,5.816786546028826
54798,737897.8280698735,6.046004974774452,5.991346485715668,5.8727613050160725,5.816786546028826
54812,737898.6809577491,6.046004974774452,5.991346485715668,5.8727613050160725,5.816786546028826
54822,737898.9881218834,6.046004974774452,5.991346485715668,5.8727613050160725,5.816786546028826
54848,737899.9985779527,6.046004974774452,5.991346485715668,5.8727613050160725,5.816786546028826
54851,737900.0620602984,6.070369872740282,5.985751845375283,5.853952984660677,5.792420979769332
54853,737900.0838532234,6.0733669668956445,5.988761073646187,5.856180787233623,5.794645101975508
54878,737900.906145252,6.077558203343215,5.992801822635609,5.8593082963412995,5.79776747608615
54879,737900.9118065827,6.079687023959343,5.993324404887128,5.859004005613013,5.797785319674957
54895,737901.5076129484,6.079687023959343,5.993324404887128,5.859004005613013,5.797785319674957
54905,737901.7919290396,6.079687023959343,5.993324404887128,5.859004005613013,5.797785319674957
54914,737902.1455671685,6.035353124287713,5.983765334281268,5.8592451811735815,5.808086485433666
54919,737902.2314019781,6.035648304324423,5.984060241796967,5.8449276889181245,5.794753613332237
54921,737902.2736848299,6.027025814176845,5.981796306492488,5.8409387673884146,5.776773904669904
54922,737902.2999669908,6.02780076932624,5.982570547507396,5.841511222432663,5.794833085392343
54971,737904.0528729699,6.02780076932624,5.982570547507396,5.841511222432663,5.794833085392343
