Index,Time[d.s],C-r(6)_T(15)_S(17)_EvLim(20),C-r(11)_T(15)_S(17)_EvLim(20),C-r(17)_T(15)_S(17)_EvLim(20),C-r(11)_T(15)_S(33)_EvLim(20),C-r(22)_T(15)_S(33)_EvLim(20),C-r(33)_T(15)_S(33)_EvLim(20),C-r(6)_T(30)_S(17)_EvLim(20),C-r(11)_T(30)_S(17)_EvLim(20),C-r(17)_T(30)_S(17)_EvLim(20),C-r(11)_T(30)_S(33)_EvLim(20),C-r(22)_T(30)_S(33)_EvLim(20),C-r(33)_T(30)_S(33)_EvLim(20)
76511,738519.9003017226,0.9697005284791544,0.9697005284791544,0.9962419260129184,0.8623709727869878,0.978313001772495,0.9979147117088938,0.9572441742654508,0.9578520770010132,0.9954407294832827,0.7742936469051118,0.9298546464151559,0.9944471664216887
76516,738520.0474902483,0.17894736842105263,0.18947368421052632,0.3,0.8054584304584305,0.8545066045066045,0.8764568764568764,0.15263157894736842,0.21052631578947367,0.4368421052631579,0.7130779590004489,0.8110878348047285,0.8651803082448002
76532,738520.4647841046,0.17894736842105263,0.18947368421052632,0.3,0.8054584304584305,0.8545066045066045,0.8764568764568764,0.15263157894736842,0.21052631578947367,0.4368421052631579,0.7130779590004489,0.8110878348047285,0.8651803082448002
76537,738520.6146626766,0.9266075636853327,0.9409718325664909,0.9524183593311637,0.7948039678790741,0.9107227208313652,0.9361360415682569,0.8458189733357518,0.8588790132414293,0.9151097406130964,0.70339985218034,0.8558758314855875,0.9121951219512195
76538,738520.6156247995,0.9266075636853327,0.9409718325664909,0.9524183593311637,0.7948039678790741,0.9107227208313652,0.9361360415682569,0.8458189733357518,0.8588790132414293,0.9151097406130964,0.70339985218034,0.8558758314855875,0.9121951219512195
76541,738520.6209780858,0.9129906025428414,0.9411829740187949,0.9531232725262576,0.7958251793868232,0.9108191221694157,0.9370049389618861,0.8346308724832214,0.8596868008948546,0.916241610738255,0.7047827674333699,0.8564439576487769,0.9132530120481928
76544,738520.8112833627,0.9129906025428414,0.9411829740187949,0.9531232725262576,0.7958251793868232,0.9108191221694157,0.9370049389618861,0.8346308724832214,0.8596868008948546,0.916241610738255,0.7047827674333699,0.8564439576487769,0.9132530120481928
76545,738520.8203349878,0.9129906025428414,0.9411829740187949,0.9531232725262576,0.7958251793868232,0.9108191221694157,0.9370049389618861,0.8346308724832214,0.8596868008948546,0.916241610738255,0.7047827674333699,0.8564439576487769,0.9132530120481928
76548,738520.8239645659,0.9129906025428414,0.9411829740187949,0.9531232725262576,0.7958251793868232,0.9108191221694157,0.9370049389618861,0.8346308724832214,0.8596868008948546,0.916241610738255,0.7047827674333699,0.8564439576487769,0.9132530120481928
76551,738520.9394469645,0.9129906025428414,0.9411829740187949,0.9531232725262576,0.7958251793868232,0.9108191221694157,0.9370049389618861,0.8346308724832214,0.8596868008948546,0.916241610738255,0.7047827674333699,0.8564439576487769,0.9132530120481928
76552,738520.9681967369,0.7327731092436974,0.8403361344537815,0.9478991596638655,0.7965706830677477,0.8809989749324387,0.9028981455595937,0.5666666666666667,0.6551282051282051,0.8666666666666667,0.7059510770354144,0.833442862358525,0.8868930266520628
76553,738521.0086667677,0.954317612212349,0.9843928001822738,0.9993164730006835,0.8409090909090909,0.9731934731934732,0.997086247086247,0.9429627409849166,0.9714314254320248,0.9985016481869943,0.757919254658385,0.9274844720496894,0.9936335403726708
76557,738521.1948440942,0.954317612212349,0.9843928001822738,0.9993164730006835,0.8409090909090909,0.9731934731934732,0.997086247086247,0.9429627409849166,0.9714314254320248,0.9985016481869943,0.757919254658385,0.9274844720496894,0.9936335403726708
76558,738521.2683082403,0.954317612212349,0.9843928001822738,0.9993164730006835,0.8409090909090909,0.9731934731934732,0.997086247086247,0.9429627409849166,0.9714314254320248,0.9985016481869943,0.757919254658385,0.9274844720496894,0.9936335403726708
76567,738521.4900972487,0.954317612212349,0.9843928001822738,0.9993164730006835,0.8409090909090909,0.9731934731934732,0.997086247086247,0.9429627409849166,0.9714314254320248,0.9985016481869943,0.757919254658385,0.9274844720496894,0.9936335403726708
76570,738521.586660691,0.954317612212349,0.9843928001822738,0.9993164730006835,0.8409090909090909,0.9731934731934732,0.997086247086247,0.9429627409849166,0.9714314254320248,0.9985016481869943,0.757919254658385,0.9274844720496894,0.9936335403726708
76571,738521.6127560615,0.954317612212349,0.9843928001822738,0.9993164730006835,0.8409090909090909,0.9731934731934732,0.997086247086247,0.9429627409849166,0.9714314254320248,0.9985016481869943,0.757919254658385,0.9274844720496894,0.9936335403726708
76572,738521.6358801443,0.954317612212349,0.9843928001822738,0.9993164730006835,0.8409090909090909,0.9731934731934732,0.997086247086247,0.9429627409849166,0.9714314254320248,0.9985016481869943,0.757919254658385,0.9274844720496894,0.9936335403726708
