Index,Time[d.s],logM_T(15)_S(17)_EvLim(20),logM_T(15)_S(33)_EvLim(20),logM_T(30)_S(17)_EvLim(20),logM_T(30)_S(33)_EvLim(20)
89050,736523.1675381766,1.2361928069623664,1.2352094767905002,0.6180701163259976,0.6176689883091778
89105,736524.9425618487,1.2353367463145992,1.2352485480276196,0.6170804321222323,0.6180050498816028
89111,736525.1752902973,1.2354489410421072,1.2351140991123362,0.6176502885677473,0.6175570495561681
89112,736525.1756720291,1.2354640919112092,1.2350318210887825,0.6176538483012736,0.6175159105443913
89123,736525.5204627361,1.2353215412591596,1.2350114898056408,0.6176263441869833,0.6175057449028204
89125,736525.560331676,1.2353860867697435,1.168833696266609,0.6176547904643127,0.5844168481333045
89132,736525.7554356907,1.235372075731818,1.1684204796707762,0.6176569867997515,0.5842102398353881
89138,736525.9882629773,1.235372075731818,1.1684204796707762,0.6176569867997515,0.5842102398353881
89145,736526.1254452915,1.235372075731818,1.1684204796707762,0.6176569867997515,0.5842102398353881
89170,736527.1424619737,1.235372075731818,1.1684204796707762,0.6176569867997515,0.5842102398353881
89172,736527.1619856302,1.2360160754946425,1.1556917180076385,0.6179871100214651,0.5849590058310435
89258,736530.7100049923,1.2360160754946425,1.1556917180076385,0.6179871100214651,0.5849590058310435
89264,736530.9996887255,1.2351272693104822,1.1542902457821274,0.6176659122068818,0.5789555910761889
89267,736531.0617183,1.2351272693104822,1.1542902457821274,0.6176659122068818,0.5789555910761889
89270,736531.0781621075,1.23507180340291,1.154253876513119,0.6175925506092727,0.5789395453841307
89271,736531.0844113867,1.1719632453777902,1.1591005507006655,0.617707589624798,0.5814558217814073
89272,736531.0882375385,1.171650537563314,1.1593384201614463,0.6176902017171321,0.5817003423694913
89274,736531.1402654202,1.148431095716943,1.1532523900345817,0.6176024342430411,0.6173024217626234
89283,736531.3896900871,1.148431095716943,1.1532523900345817,0.6176024342430411,0.6173024217626234
89284,736531.427248794,1.148431095716943,1.1532523900345817,0.6176024342430411,0.6173024217626234
89285,736531.4279774594,1.148431095716943,1.1532523900345817,0.6176024342430411,0.6173024217626234
89287,736531.4495728661,1.148431095716943,1.1532523900345817,0.6176024342430411,0.6173024217626234
89290,736531.5049262152,1.148431095716943,1.1532523900345817,0.6176024342430411,0.6173024217626234
89297,736531.618806706,1.1591689858551049,1.1518257161977694,0.5858915825650687,0.5820579365222266
89300,736531.633205841,1.1675360534514698,1.1635072613201736,0.5887837291332524,0.5858192213126792
89301,736531.634466834,1.1675360534514698,1.1635072613201736,0.5887837291332524,0.5858192213126792
89304,736531.6390862837,1.1675145783230434,1.1620572391660653,0.5838675879443457,0.5860047654665889
89305,736531.6594342384,1.1651647241096665,1.1623909186194084,0.5835398351358119,0.5861232717249132
89306,736531.6601880488,1.165309572270207,1.1631577863377913,0.5837095480023036,0.5863971175524788
89307,736531.6615943122,1.1656578385786664,1.163886216791556,0.5840717346947056,0.5866591467477734
89310,736531.7738507763,1.1813865928388294,1.1824575116394818,0.5932628043631215,0.593901511375165
89312,736531.7771046906,1.1813865928388294,1.1824575116394818,0.5932628043631215,0.593901511375165
89314,736531.7862564953,1.1812165488773805,1.1827443763436691,0.593387515979605,0.5940208624184581
89316,736531.8166269195,1.1812165488773805,1.1827443763436691,0.593387515979605,0.5940208624184581
89317,736531.8202881927,1.1813777008473045,1.1828972667463395,0.5934540492995993,0.5940845539161411
89320,736532.0520941163,1.1634612045733048,1.18236548301554,0.6178137611052924,0.5939416765822331
89332,736532.4729395615,1.1808796323532311,1.1838571893483192,0.5931404976430427,0.5946034788955217
89335,736532.5860459295,1.161301280408497,1.182596060851034,0.5845696928904887,0.5940276573204369
89336,736532.5920842444,1.1981363959149058,1.1999454525899191,0.6006953122834529,0.6015670886601426
89337,736532.598546194,1.1981363959149058,1.1999454525899191,0.6006953122834529,0.6015670886601426
