Index,Time[d.s],IEt_T(15)_S(17)_EvLim(20),IEt_T(15)_S(33)_EvLim(20),IEt_T(30)_S(17)_EvLim(20),IEt_T(30)_S(33)_EvLim(20)
67774,738352.694878013,8.238842558930628,3.5311666334746405,8.238842558930628,4.963388213189319
67776,738352.7212487935,8.238842558930628,3.5311666334746405,8.238842558930628,4.963388213189319
67781,738352.7832463755,8.238842558930628,3.5311666334746405,8.238842558930628,4.963388213189319
67785,738352.8760564632,8.238842558930628,3.5311666334746405,8.238842558930628,4.963388213189319
67791,738352.9537289827,8.238842558930628,3.5311666334746405,8.238842558930628,4.963388213189319
67792,738352.9640471131,8.238842558930628,3.5311666334746405,8.238842558930628,4.963388213189319
67793,738352.9686944442,3.613996002357453,3.0138346053427085,6.943032779847272,4.963388213189319
67795,738352.9906464143,3.613996002357453,3.0138346053427085,6.943032779847272,4.963388213189319
67797,738353.0185565492,3.613996002357453,3.0138346053427085,6.943032779847272,4.963388213189319
67798,738353.0266542287,3.571081906557083,3.0138346053427085,6.943032779847272,4.963388213189319
67799,738353.0931901025,3.571081906557083,3.0138346053427085,6.943032779847272,4.963388213189319
67803,738353.1524396725,3.571081906557083,3.0138346053427085,6.943032779847272,4.963388213189319
67806,738353.2453395105,3.571081906557083,3.0138346053427085,6.943032779847272,4.963388213189319
67815,738353.487371786,3.571081906557083,3.0138346053427085,6.943032779847272,4.963388213189319
67824,738353.65421755,3.571081906557083,3.0138346053427085,6.943032779847272,4.963388213189319
67826,738353.6591640345,3.571081906557083,3.0138346053427085,6.943032779847272,4.963388213189319
67829,738353.7309597386,3.571081906557083,3.5311666334746405,4.888695556437597,3.5311666334746405
67830,738353.7637224067,3.571081906557083,3.0138346053427085,4.888695556437597,3.5220232363790274
67831,738353.791398396,3.571081906557083,3.0138346053427085,4.888695556437597,3.5220232363790274
67839,738353.9306373204,3.571081906557083,3.0138346053427085,4.888695556437597,3.5220232363790274
67840,738354.0060563287,3.571081906557083,3.0138346053427085,4.888695556437597,3.5220232363790274
67843,738354.081941974,3.571081906557083,3.0138346053427085,4.888695556437597,3.5220232363790274
67845,738354.1276718578,3.571081906557083,3.0138346053427085,4.888695556437597,3.5220232363790274
67867,738354.6742000169,3.571081906557083,3.0138346053427085,4.888695556437597,3.5220232363790274
67868,738354.7014317096,3.571081906557083,3.0138346053427085,4.888695556437597,3.5220232363790274
67870,738354.7584825853,3.571081906557083,3.0138346053427085,4.888695556437597,3.5220232363790274
67874,738354.798787282,3.571081906557083,3.0138346053427085,4.888695556437597,3.5220232363790274
67876,738354.9054215444,3.571081906557083,3.0138346053427085,4.888695556437597,3.5220232363790274
