Index,Time[d.s],bp_T(15)_S(17)_EvLim(20),bp_T(15)_S(33)_EvLim(20),bp_T(30)_S(17)_EvLim(20),bp_T(30)_S(33)_EvLim(20)
377,736705.2002165153,1.1989724960519226,0.868933095725603,0.8252626734503598,0.8689210355398308
383,736705.2821626879,0.8940272653780861,0.8841713902888212,0.8966850968408501,0.8780448312196378
394,736705.3922064686,0.9124608172415519,0.8838150850741172,0.9023988403586061,0.8717589965211259
405,736705.8085626701,0.9124608172415519,0.8838150850741172,0.9023988403586061,0.8717589965211259
406,736705.8653171266,0.8432902561228189,0.8941619969183692,0.6560339605789303,0.8769519492831112
417,736706.1882216155,0.8911009887863698,0.8958219511205687,0.9011262749419929,0.8820184053328618
422,736706.3435756858,0.9130054449102453,0.9369049497238693,0.889290479895883,0.8816114598805562
423,736706.3599628136,0.9299881836749349,0.9061567107740095,0.8911978763749417,0.8662265278215358
429,736706.4155927057,0.9468327228844255,0.9211119426648393,0.8911978763749417,0.8662265278215358
430,736706.514354339,0.9576860478044947,0.9304865471611357,0.8911978763749417,0.8662265278215358
444,736706.8862915352,0.9475515968798222,0.9197570575847835,0.886922667264042,0.8623175633458067
449,736706.9299879471,0.9465977415433271,0.9185766218317669,0.886922667264042,0.8623175633458067
452,736707.0138131918,0.911352423687211,0.8961285233031364,0.8808494356815303,0.8623175633458067
455,736707.0753314638,0.9283356971349311,0.9117293270882397,0.886801121057757,0.8679170280428574
460,736707.2366692184,1.1504489586841102,0.8152285496477423,1.2186834951366752,0.7077391556941881
468,736707.3953504374,0.9876159216346835,0.9340937672299724,0.9095487762467549,0.8885380767555969
477,736707.6363031969,0.9765201368238797,0.9430803757657197,0.9148858730889936,0.8878448189712036
478,736707.6837708645,0.9765201368238797,0.9430803757657197,0.9148858730889936,0.8878448189712036
480,736707.7112611225,0.9821049957870891,0.948500096976799,0.9177820834810899,0.8906542034268856
485,736707.8509526119,0.9832106233138854,0.9490806105216291,0.9170069296943659,0.8899477088181389
498,736708.7559589501,1.3047473705247912,0.9575569095829438,0.8515578076534348,0.883407410695591
506,736708.9691149567,1.0099871672168645,0.9556286547975208,1.0099871672168645,0.9182843522829949
509,736709.0445972898,0.9617403901685422,0.9386037284124018,0.9136543471454339,0.8872559062496786
512,736709.1432374439,0.9761016042776668,0.9512000353716583,0.9152740849163298,0.888890065958062
517,736709.3219183384,0.9471464005587276,0.924850715676845,0.9126390065212633,0.8866632531986296
518,736709.3395433064,0.9254576668105118,0.9055554749767889,0.903533573538041,0.8785495897282636
519,736709.3528566387,0.9254576668105118,0.9055554749767889,0.903533573538041,0.8785495897282636
520,736709.3576675942,0.9234694329656021,0.9040166430616211,0.9028003453131054,0.8780361886207777
523,736709.3683062115,0.9169620333942586,0.9040166430616211,0.8998143080048162,0.8780361886207777
536,736709.4759435694,0.9161210410065538,0.8902435363113748,0.8828319865223984,0.8718999763750163
539,736709.5330778604,0.9315682240220808,0.9116173003846594,0.9065082637271147,0.8815629084976003
541,736709.6318067061,0.931185309619837,0.9115266673473389,0.9064970210504306,0.8817043154995594
542,736709.7433220166,0.9273656606054399,0.907806191269339,0.9064970210504306,0.8817043154995594
543,736709.8161167806,0.9304438206134844,0.9105978793051127,0.9062513579010946,0.8814806178424494
544,736709.8300350822,0.9286962487981623,0.9092666838745767,0.905632243979605,0.881066174224087
554,736710.2555043038,0.8432902561228189,1.4085226440105463,0.8432902561228189,0.8272275845776225
556,736710.2946539754,0.9650988486738931,0.9422318191449368,0.9133615908068389,0.8877966395296609
560,736710.3702001269,0.9396776184171958,0.9648204012276509,0.9045220307828068,0.9092792083815792
564,736710.3952102475,0.9674549032327551,0.9446518391680901,0.9146792972251199,0.8891505707552179
569,736710.4998612182,0.9848567778593427,0.9600459751206263,0.9146792972251199,0.8891505707552179
575,736710.5683173301,0.9415948078092479,0.9212307191887157,0.8970634954025056,0.8732535479758154
583,736710.7665991749,0.9248622739991265,0.9055347829509004,0.8970634954025056,0.8732535479758154
584,736710.7966913166,0.9275942657085174,0.9082658399737792,0.8984211533869153,0.8746358287957084
585,736710.811802465,0.9346549875865973,0.9149295514788068,0.9016693157737442,0.8777433422223191
586,736710.8432523063,0.9346549875865973,0.9149295514788068,0.9016693157737442,0.8777433422223191
588,736710.8701322646,0.9408018636077466,0.9207656860139612,0.9045416311720771,0.8805080360011533
589,736710.8712757448,0.9408018636077466,0.9207656860139612,0.9045416311720771,0.8805080360011533
590,736710.9160293533,0.9353257177194597,0.9157872286686575,0.9000628600445392,0.8765576698964715
591,736710.9214312276,0.9353257177194597,0.9157872286686575,0.9000628600445392,0.8765576698964715
594,736711.0382186646,0.9518783165002777,0.9320636802596276,0.9518783165002777,0.9052373612182483
596,736711.077759782,0.9370565633700773,0.9151577506096797,0.9010258960648377,0.8765092279141616
606,736711.2665432679,0.9309904884368664,0.9168696972302749,0.8981896803149979,0.8818966254601538
613,736711.3581721331,0.9370565633700773,0.9050218965656863,0.9010258960648377,0.8765092279141616
640,736711.8675269765,0.9252060504775158,0.8909910238343385,0.9010258960648377,0.8765092279141616
643,736712.0014212801,1.5903741590823306,0.9045109709380428,1.5903741590823306,0.9001780334464654
663,736713.2996504772,0.8641084017234929,0.8638230435661387,0.9014728801908231,0.8699515385053674
672,736713.6711235949,0.8641084017234929,0.8638230435661387,0.9014728801908231,0.8699515385053674
674,736713.6776223844,0.8692211246244123,0.8685889638065037,0.9031338329155224,0.8716161336118621
679,736714.1030519407,0.8790701852459748,0.8776792127961783,0.9031338329155224,0.8716161336118621
680,736714.1056870844,0.8790701852459748,0.8776792127961783,0.9031338329155224,0.8716161336118621
683,736714.1477884152,0.8907742856374747,0.8885421919772203,0.9070101386226946,0.8752575930871679
689,736714.3160782394,0.8803266525065915,0.8788932292529171,0.9032700740573476,0.8720979971678893
703,736714.6485272044,0.8891068133452399,0.886961742763753,0.9032700740573476,0.8720979971678893
706,736715.0164250984,0.8702954254249841,0.8936745656492905,0.8941518321362897,0.8825235461135597
709,736715.1712312633,0.9146893047667477,0.8653235917621181,0.9258547975829292,0.8816582508186385
711,736715.2521121314,0.8505571521802815,0.8954525400067046,0.9109914761509857,0.879531977950775
722,736715.6999315992,1.1953059134951884,0.8968222570851089,0.7430894177051838,0.9074334849151519
724,736715.7667648405,0.8256549085613152,0.8698542062883776,0.9021602607835395,0.8716118952350647
725,736715.771344203,0.8178803802321126,0.8698542062883776,0.8993296876761615,0.8716118952350647
739,736716.8753653942,0.7722981706187224,0.8098361454137419,0.8952158982149481,0.8683745503372844
740,736716.9512209843,0.7722981706187224,0.8098361454137419,0.8912438063683837,0.864614957171059
751,736717.5123416658,0.9829710495752614,0.7925081786555688,0.7983354446750953,0.9044107218075065
756,736717.7404630361,0.7425247600929455,0.7879072603469734,0.9037341819952063,0.8819340180266436
794,736720.0334814112,0.762707251276372,0.7853810278797809,0.8961419860646095,0.898540307386038
801,736720.4361674155,0.7574903754126483,0.8863152691903099,0.7574903754126483,1.0036518234806087
805,736720.6308328375,1.0994797010208905,0.7900752371179112,1.328117681661321,0.8495902526449935
806,736720.671092548,1.477192115317183,1.3860462188401652,1.504050153777496,0.9415598523647731
807,736720.6732632617,0.8144663604961163,0.853883197625181,0.8870115105643791,0.8757483665108257
811,736720.9212029392,0.8194235507608524,0.8334009247610376,0.8878367217435389,0.8754402352125145
812,736720.9232153485,0.8194235507608524,0.8529515192862556,0.8878367217435389,0.8809736660686277
827,736721.4922285563,0.9418434547299438,0.8374824719897417,1.0046969681742624,0.9019689158088795
