Index,Parent,CB
93440.0,93434.0,1.0
93442.0,93440.0,1.0
93444.0,93440.0,1.0
93449.0,93442.0,1.0
93450.0,93449.0,1.0
93451.0,93417.0,1.0
93453.0,93440.0,1.0
93455.0,93453.0,1.0
93458.0,93417.0,1.0
93459.0,93440.0,1.0
93460.0,93417.0,1.0
93464.0,93444.0,1.0
93467.0,93342.0,1.0
93469.0,93464.0,1.0
93470.0,93469.0,1.0
93471.0,93470.0,1.0
93472.0,93469.0,1.0
93474.0,93472.0,1.0
93475.0,93417.0,1.0
93477.0,93470.0,1.0
93478.0,93470.0,1.0
93480.0,93478.0,1.0
93481.0,93480.0,1.0
93482.0,93480.0,1.0
93483.0,93475.0,1.0
93487.0,93417.0,1.0
93488.0,93440.0,1.0
93489.0,93488.0,1.0
93490.0,93488.0,1.0
93491.0,93474.0,1.0
93500.0,93417.0,1.0
93506.0,93489.0,1.0
93507.0,93506.0,1.0
93508.0,93507.0,1.0
93513.0,93508.0,1.0
93520.0,93449.0,1.0
93521.0,93520.0,1.0
93522.0,93491.0,1.0
93524.0,93522.0,1.0
93535.0,93487.0,1.0
93536.0,93491.0,0.0
93561.0,93279.0,0.0
93567.0,93561.0,1.0
93572.0,93417.0,1.0
93583.0,93524.0,1.0
93589.0,93521.0,1.0
93594.0,93417.0,1.0
93599.0,93589.0,1.0
93620.0,93481.0,1.0
93628.0,93480.0,1.0
93634.0,93535.0,1.0
93638.0,93471.0,1.0
93639.0,93638.0,1.0
93640.0,92914.0,1.0
93680.0,93440.0,1.0
93683.0,93520.0,1.0
93684.0,93417.0,1.0
93688.0,93684.0,1.0
93690.0,93688.0,1.0
93691.0,93690.0,1.0
93692.0,93690.0,1.0
93693.0,93690.0,1.0
93695.0,93690.0,1.0
93698.0,93690.0,1.0
93700.0,93690.0,1.0
93701.0,93690.0,1.0
93707.0,93690.0,1.0
93709.0,93707.0,1.0
93710.0,93709.0,1.0
93712.0,93690.0,1.0
93714.0,93690.0,1.0
93717.0,93690.0,1.0
93721.0,93690.0,1.0
93723.0,93709.0,1.0
93726.0,93690.0,1.0
93730.0,93726.0,1.0
93733.0,93488.0,1.0
93736.0,93726.0,1.0
93737.0,93736.0,1.0
93739.0,93733.0,1.0
93742.0,93730.0,1.0
93744.0,93742.0,1.0
93748.0,93690.0,1.0
93750.0,93726.0,1.0
93759.0,93690.0,1.0
93762.0,93690.0,1.0
93767.0,93522.0,1.0
93768.0,93767.0,1.0
93772.0,93768.0,1.0
93775.0,93690.0,1.0
93778.0,93775.0,1.0
93779.0,93775.0,1.0
93791.0,93480.0,1.0
93801.0,93730.0,1.0
93803.0,93742.0,1.0
93805.0,93458.0,1.0
93815.0,93508.0,0.0
93819.0,93690.0,1.0
93824.0,93742.0,1.0
93825.0,93700.0,1.0
93843.0,93768.0,1.0
93844.0,93843.0,1.0
93845.0,93844.0,1.0
93865.0,93692.0,1.0
93867.0,93522.0,1.0
6.0,93762.0,1.0
8.0,6.0,1.0
19.0,93690.0,1.0
29.0,19.0,1.0
35.0,93824.0,1.0
43.0,93695.0,1.0
44.0,93865.0,1.0
45.0,29.0,1.0
49.0,29.0,1.0
51.0,49.0,1.0
52.0,51.0,1.0
53.0,51.0,1.0
56.0,53.0,1.0
61.0,53.0,1.0
83.0,49.0,1.0
85.0,83.0,1.0
86.0,85.0,1.0
87.0,85.0,1.0
90.0,85.0,1.0
91.0,85.0,1.0
93.0,85.0,1.0
94.0,93.0,1.0
95.0,94.0,1.0
99.0,85.0,1.0
103.0,93742.0,0.0
114.0,85.0,1.0
123.0,85.0,1.0
124.0,85.0,1.0
127.0,53.0,0.0
133.0,85.0,1.0
137.0,93690.0,0.0
138.0,133.0,1.0
145.0,93733.0,1.0
150.0,61.0,1.0
158.0,85.0,1.0
159.0,158.0,1.0
166.0,93815.0,1.0
167.0,166.0,1.0
168.0,167.0,1.0
172.0,159.0,1.0
173.0,172.0,0.0
188.0,93690.0,1.0
190.0,188.0,1.0
191.0,190.0,1.0
193.0,93701.0,1.0
196.0,145.0,1.0
212.0,173.0,0.0
220.0,188.0,1.0
223.0,212.0,0.0
226.0,93690.0,0.0
232.0,85.0,1.0
245.0,173.0,1.0
274.0,166.0,1.0
277.0,274.0,0.0
280.0,277.0,1.0
285.0,277.0,1.0
289.0,277.0,1.0
317.0,277.0,0.0
331.0,277.0,1.0
332.0,277.0,1.0
347.0,332.0,1.0
349.0,93750.0,1.0
351.0,349.0,1.0
354.0,349.0,0.0
355.0,354.0,1.0
358.0,332.0,1.0
367.0,93717.0,0.0
378.0,277.0,1.0
377.0,378.0,1.0
383.0,85.0,1.0
394.0,347.0,1.0
423.0,332.0,1.0
444.0,93775.0,1.0
449.0,444.0,0.0
460.0,444.0,0.0
468.0,444.0,0.0
498.0,377.0,1.0
506.0,190.0,1.0
517.0,394.0,1.0
518.0,517.0,1.0
519.0,517.0,1.0
520.0,518.0,1.0
523.0,518.0,1.0
541.0,518.0,1.0
544.0,520.0,0.0
554.0,518.0,1.0
556.0,332.0,1.0
564.0,518.0,1.0
569.0,172.0,1.0
575.0,518.0,1.0
585.0,575.0,1.0
590.0,575.0,1.0
594.0,506.0,1.0
596.0,556.0,0.0
643.0,575.0,1.0
663.0,575.0,1.0
674.0,367.0,1.0
689.0,674.0,0.0
709.0,575.0,1.0
711.0,212.0,0.0
722.0,575.0,1.0
724.0,85.0,1.0
739.0,517.0,1.0
740.0,518.0,0.0
751.0,575.0,1.0
756.0,724.0,0.0
801.0,575.0,0.0
805.0,331.0,0.0
806.0,805.0,0.0
827.0,575.0,1.0
